amīcitia tristis, Nominative, sg., f 
amīcitiae tristis, Genitive, sg., f 
amīcitiae tristi, Dative, sg., f 
amīcitiam tristem, Accusative, sg., f 
amīcitiā tristi, Ablative, sg., f 
amīcitiae tristes, Nominative, pl., f 
amīcitiarum tristium, Genitive, pl., f 
amīcitiis tristibus, Dative, pl., f 
amīcitias tristes, Accusative, pl., f 
amīcitiis tristibus, Ablative, pl., f 
anima tristis, Nominative, sg., f 
animae tristis, Genitive, sg., f 
animae tristi, Dative, sg., f 
animam tristem, Accusative, sg., f 
animā tristi, Ablative, sg., f 
animae tristes, Nominative, pl., f 
animarum tristium, Genitive, pl., f 
animis tristibus, Dative, pl., f 
animas tristes, Accusative, pl., f 
animis tristibus, Ablative, pl., f 
aqua tristis, Nominative, sg., f 
aquae tristis, Genitive, sg., f 
aquae tristi, Dative, sg., f 
aquam tristem, Accusative, sg., f 
aquā tristi, Ablative, sg., f 
aquae tristes, Nominative, pl., f 
aquarum tristium, Genitive, pl., f 
aquis tristibus, Dative, pl., f 
aquas tristes, Accusative, pl., f 
aquis tristibus, Ablative, pl., f 
āra tristis, Nominative, sg., f 
ārae tristis, Genitive, sg., f 
ārae tristi, Dative, sg., f 
āram tristem, Accusative, sg., f 
ārā tristi, Ablative, sg., f 
ārae tristes, Nominative, pl., f 
ārarum tristium, Genitive, pl., f 
āris tristibus, Dative, pl., f 
āras tristes, Accusative, pl., f 
āris tristibus, Ablative, pl., f 
aura tristis, Nominative, sg., f 
aurae tristis, Genitive, sg., f 
aurae tristi, Dative, sg., f 
auram tristem, Accusative, sg., f 
aurā tristi, Ablative, sg., f 
aurae tristes, Nominative, pl., f 
aurarum tristium, Genitive, pl., f 
auris tristibus, Dative, pl., f 
auras tristes, Accusative, pl., f 
auris tristibus, Ablative, pl., f 
causa tristis, Nominative, sg., f 
causae tristis, Genitive, sg., f 
causae tristi, Dative, sg., f 
causam tristem, Accusative, sg., f 
causā tristi, Ablative, sg., f 
causae tristes, Nominative, pl., f 
causarum tristium, Genitive, pl., f 
causis tristibus, Dative, pl., f 
causas tristes, Accusative, pl., f 
causis tristibus, Ablative, pl., f 
coma tristis, Nominative, sg., f 
comae tristis, Genitive, sg., f 
comae tristi, Dative, sg., f 
comam tristem, Accusative, sg., f 
comā tristi, Ablative, sg., f 
comae tristes, Nominative, pl., f 
comarum tristium, Genitive, pl., f 
comis tristibus, Dative, pl., f 
comas tristes, Accusative, pl., f 
comis tristibus, Ablative, pl., f 
cōpia tristis, Nominative, sg., f 
cōpiae tristis, Genitive, sg., f 
cōpiae tristi, Dative, sg., f 
cōpiam tristem, Accusative, sg., f 
cōpiā tristi, Ablative, sg., f 
cōpiae tristes, Nominative, pl., f 
cōpiarum tristium, Genitive, pl., f 
cōpiis tristibus, Dative, pl., f 
cōpias tristes, Accusative, pl., f 
cōpiis tristibus, Ablative, pl., f 
culpa tristis, Nominative, sg., f 
culpae tristis, Genitive, sg., f 
culpae tristi, Dative, sg., f 
culpam tristem, Accusative, sg., f 
culpā tristi, Ablative, sg., f 
culpae tristes, Nominative, pl., f 
culparum tristium, Genitive, pl., f 
culpis tristibus, Dative, pl., f 
culpas tristes, Accusative, pl., f 
culpis tristibus, Ablative, pl., f 
cūra tristis, Nominative, sg., f 
cūrae tristis, Genitive, sg., f 
cūrae tristi, Dative, sg., f 
cūram tristem, Accusative, sg., f 
cūrā tristi, Ablative, sg., f 
cūrae tristes, Nominative, pl., f 
cūrarum tristium, Genitive, pl., f 
cūris tristibus, Dative, pl., f 
cūras tristes, Accusative, pl., f 
cūris tristibus, Ablative, pl., f 
disciplīna tristis, Nominative, sg., f 
disciplīnae tristis, Genitive, sg., f 
disciplīnae tristi, Dative, sg., f 
disciplīnam tristem, Accusative, sg., f 
disciplīnā tristi, Ablative, sg., f 
disciplīnae tristes, Nominative, pl., f 
disciplīnarum tristium, Genitive, pl., f 
disciplīnis tristibus, Dative, pl., f 
disciplīnas tristes, Accusative, pl., f 
disciplīnis tristibus, Ablative, pl., f 
epistula tristis, Nominative, sg., f 
epistulae tristis, Genitive, sg., f 
epistulae tristi, Dative, sg., f 
epistulam tristem, Accusative, sg., f 
epistulā tristi, Ablative, sg., f 
epistulae tristes, Nominative, pl., f 
epistularum tristium, Genitive, pl., f 
epistulis tristibus, Dative, pl., f 
epistulas tristes, Accusative, pl., f 
epistulis tristibus, Ablative, pl., f 
fābula tristis, Nominative, sg., f 
fābulae tristis, Genitive, sg., f 
fābulae tristi, Dative, sg., f 
fābulam tristem, Accusative, sg., f 
fābulā tristi, Ablative, sg., f 
fābulae tristes, Nominative, pl., f 
fābularum tristium, Genitive, pl., f 
fābulis tristibus, Dative, pl., f 
fābulas tristes, Accusative, pl., f 
fābulis tristibus, Ablative, pl., f 
fāma tristis, Nominative, sg., f 
fāmae tristis, Genitive, sg., f 
fāmae tristi, Dative, sg., f 
fāmam tristem, Accusative, sg., f 
fāmā tristi, Ablative, sg., f 
fāmae tristes, Nominative, pl., f 
fāmarum tristium, Genitive, pl., f 
fāmis tristibus, Dative, pl., f 
fāmas tristes, Accusative, pl., f 
fāmis tristibus, Ablative, pl., f 
