amīcitia bona, Nominative, sg., f 
amīcitiae bonae, Genitive, sg., f 
amīcitiae bonae, Dative, sg., f 
amīcitiam bonam, Accusative, sg., f 
amīcitiā bonā, Ablative, sg., f 
amīcitiae bonae, Nominative, pl., f 
amīcitiarum bonarum, Genitive, pl., f 
amīcitiis bonis, Dative, pl., f 
amīcitias bonas, Accusative, pl., f 
amīcitiis bonis, Ablative, pl., f 
anima bona, Nominative, sg., f 
animae bonae, Genitive, sg., f 
animae bonae, Dative, sg., f 
animam bonam, Accusative, sg., f 
animā bonā, Ablative, sg., f 
animae bonae, Nominative, pl., f 
animarum bonarum, Genitive, pl., f 
animis bonis, Dative, pl., f 
animas bonas, Accusative, pl., f 
animis bonis, Ablative, pl., f 
aqua bona, Nominative, sg., f 
aquae bonae, Genitive, sg., f 
aquae bonae, Dative, sg., f 
aquam bonam, Accusative, sg., f 
aquā bonā, Ablative, sg., f 
aquae bonae, Nominative, pl., f 
aquarum bonarum, Genitive, pl., f 
aquis bonis, Dative, pl., f 
aquas bonas, Accusative, pl., f 
aquis bonis, Ablative, pl., f 
āra bona, Nominative, sg., f 
ārae bonae, Genitive, sg., f 
ārae bonae, Dative, sg., f 
āram bonam, Accusative, sg., f 
ārā bonā, Ablative, sg., f 
ārae bonae, Nominative, pl., f 
ārarum bonarum, Genitive, pl., f 
āris bonis, Dative, pl., f 
āras bonas, Accusative, pl., f 
āris bonis, Ablative, pl., f 
aura bona, Nominative, sg., f 
aurae bonae, Genitive, sg., f 
aurae bonae, Dative, sg., f 
auram bonam, Accusative, sg., f 
aurā bonā, Ablative, sg., f 
aurae bonae, Nominative, pl., f 
aurarum bonarum, Genitive, pl., f 
auris bonis, Dative, pl., f 
auras bonas, Accusative, pl., f 
auris bonis, Ablative, pl., f 
causa bona, Nominative, sg., f 
causae bonae, Genitive, sg., f 
causae bonae, Dative, sg., f 
causam bonam, Accusative, sg., f 
causā bonā, Ablative, sg., f 
causae bonae, Nominative, pl., f 
causarum bonarum, Genitive, pl., f 
causis bonis, Dative, pl., f 
causas bonas, Accusative, pl., f 
causis bonis, Ablative, pl., f 
coma bona, Nominative, sg., f 
comae bonae, Genitive, sg., f 
comae bonae, Dative, sg., f 
comam bonam, Accusative, sg., f 
comā bonā, Ablative, sg., f 
comae bonae, Nominative, pl., f 
comarum bonarum, Genitive, pl., f 
comis bonis, Dative, pl., f 
comas bonas, Accusative, pl., f 
comis bonis, Ablative, pl., f 
cōpia bona, Nominative, sg., f 
cōpiae bonae, Genitive, sg., f 
cōpiae bonae, Dative, sg., f 
cōpiam bonam, Accusative, sg., f 
cōpiā bonā, Ablative, sg., f 
cōpiae bonae, Nominative, pl., f 
cōpiarum bonarum, Genitive, pl., f 
cōpiis bonis, Dative, pl., f 
cōpias bonas, Accusative, pl., f 
cōpiis bonis, Ablative, pl., f 
culpa bona, Nominative, sg., f 
culpae bonae, Genitive, sg., f 
culpae bonae, Dative, sg., f 
culpam bonam, Accusative, sg., f 
culpā bonā, Ablative, sg., f 
culpae bonae, Nominative, pl., f 
culparum bonarum, Genitive, pl., f 
culpis bonis, Dative, pl., f 
culpas bonas, Accusative, pl., f 
culpis bonis, Ablative, pl., f 
cūra bona, Nominative, sg., f 
cūrae bonae, Genitive, sg., f 
cūrae bonae, Dative, sg., f 
cūram bonam, Accusative, sg., f 
cūrā bonā, Ablative, sg., f 
cūrae bonae, Nominative, pl., f 
cūrarum bonarum, Genitive, pl., f 
cūris bonis, Dative, pl., f 
cūras bonas, Accusative, pl., f 
cūris bonis, Ablative, pl., f 
disciplīna bona, Nominative, sg., f 
disciplīnae bonae, Genitive, sg., f 
disciplīnae bonae, Dative, sg., f 
disciplīnam bonam, Accusative, sg., f 
disciplīnā bonā, Ablative, sg., f 
disciplīnae bonae, Nominative, pl., f 
disciplīnarum bonarum, Genitive, pl., f 
disciplīnis bonis, Dative, pl., f 
disciplīnas bonas, Accusative, pl., f 
disciplīnis bonis, Ablative, pl., f 
epistula bona, Nominative, sg., f 
epistulae bonae, Genitive, sg., f 
epistulae bonae, Dative, sg., f 
epistulam bonam, Accusative, sg., f 
epistulā bonā, Ablative, sg., f 
epistulae bonae, Nominative, pl., f 
epistularum bonarum, Genitive, pl., f 
epistulis bonis, Dative, pl., f 
epistulas bonas, Accusative, pl., f 
epistulis bonis, Ablative, pl., f 
fābula bona, Nominative, sg., f 
fābulae bonae, Genitive, sg., f 
fābulae bonae, Dative, sg., f 
fābulam bonam, Accusative, sg., f 
fābulā bonā, Ablative, sg., f 
fābulae bonae, Nominative, pl., f 
fābularum bonarum, Genitive, pl., f 
fābulis bonis, Dative, pl., f 
fābulas bonas, Accusative, pl., f 
fābulis bonis, Ablative, pl., f 
fāma bona, Nominative, sg., f 
fāmae bonae, Genitive, sg., f 
fāmae bonae, Dative, sg., f 
fāmam bonam, Accusative, sg., f 
fāmā bonā, Ablative, sg., f 
fāmae bonae, Nominative, pl., f 
fāmarum bonarum, Genitive, pl., f 
fāmis bonis, Dative, pl., f 
fāmas bonas, Accusative, pl., f 
fāmis bonis, Ablative, pl., f 
familia bona, Nominative, sg., f 
familiae bonae, Genitive, sg., f 
familiae bonae, Dative, sg., f 
familiam bonam, Accusative, sg., f 
familiā bonā, Ablative, sg., f 
familiae bonae, Nominative, pl., f 
familiarum bonarum, Genitive, pl., f 
familiis bonis, Dative, pl., f 
familias bonas, Accusative, pl., f 
familiis bonis, Ablative, pl., f 
fēmina bona, Nominative, sg., f 
fēminae bonae, Genitive, sg., f 
fēminae bonae, Dative, sg., f 
fēminam bonam, Accusative, sg., f 
fēminā bonā, Ablative, sg., f 
fēminae bonae, Nominative, pl., f 
fēminarum bonarum, Genitive, pl., f 
fēminis bonis, Dative, pl., f 
fēminas bonas, Accusative, pl., f 
fēminis bonis, Ablative, pl., f 
flamma bona, Nominative, sg., f 
flammae bonae, Genitive, sg., f 
flammae bonae, Dative, sg., f 
flammam bonam, Accusative, sg., f 
flammā bonā, Ablative, sg., f 
flammae bonae, Nominative, pl., f 
flammarum bonarum, Genitive, pl., f 
flammis bonis, Dative, pl., f 
flammas bonas, Accusative, pl., f 
flammis bonis, Ablative, pl., f 
fōrma bona, Nominative, sg., f 
fōrmae bonae, Genitive, sg., f 
fōrmae bonae, Dative, sg., f 
fōrmam bonam, Accusative, sg., f 
fōrmā bonā, Ablative, sg., f 
fōrmae bonae, Nominative, pl., f 
fōrmarum bonarum, Genitive, pl., f 
fōrmis bonis, Dative, pl., f 
fōrmas bonas, Accusative, pl., f 
fōrmis bonis, Ablative, pl., f 
fortūna bona, Nominative, sg., f 
fortūnae bonae, Genitive, sg., f 
fortūnae bonae, Dative, sg., f 
fortūnam bonam, Accusative, sg., f 
fortūnā bonā, Ablative, sg., f 
fortūnae bonae, Nominative, pl., f 
fortūnarum bonarum, Genitive, pl., f 
fortūnis bonis, Dative, pl., f 
fortūnas bonas, Accusative, pl., f 
fortūnis bonis, Ablative, pl., f 
fuga bona, Nominative, sg., f 
fugae bonae, Genitive, sg., f 
fugae bonae, Dative, sg., f 
fugam bonam, Accusative, sg., f 
fugā bonā, Ablative, sg., f 
fugae bonae, Nominative, pl., f 
fugarum bonarum, Genitive, pl., f 
fugis bonis, Dative, pl., f 
fugas bonas, Accusative, pl., f 
fugis bonis, Ablative, pl., f 
glōria bona, Nominative, sg., f 
glōriae bonae, Genitive, sg., f 
glōriae bonae, Dative, sg., f 
glōriam bonam, Accusative, sg., f 
glōriā bonā, Ablative, sg., f 
glōriae bonae, Nominative, pl., f 
glōriarum bonarum, Genitive, pl., f 
glōriis bonis, Dative, pl., f 
glōrias bonas, Accusative, pl., f 
glōriis bonis, Ablative, pl., f 
grātia bona, Nominative, sg., f 
grātiae bonae, Genitive, sg., f 
grātiae bonae, Dative, sg., f 
grātiam bonam, Accusative, sg., f 
grātiā bonā, Ablative, sg., f 
grātiae bonae, Nominative, pl., f 
grātiarum bonarum, Genitive, pl., f 
grātiis bonis, Dative, pl., f 
grātias bonas, Accusative, pl., f 
grātiis bonis, Ablative, pl., f 
hōra bona, Nominative, sg., f 
hōrae bonae, Genitive, sg., f 
hōrae bonae, Dative, sg., f 
hōram bonam, Accusative, sg., f 
hōrā bonā, Ablative, sg., f 
hōrae bonae, Nominative, pl., f 
hōrarum bonarum, Genitive, pl., f 
hōris bonis, Dative, pl., f 
hōras bonas, Accusative, pl., f 
hōris bonis, Ablative, pl., f 
iniūria bona, Nominative, sg., f 
iniūriae bonae, Genitive, sg., f 
iniūriae bonae, Dative, sg., f 
iniūriam bonam, Accusative, sg., f 
iniūriā bonā, Ablative, sg., f 
iniūriae bonae, Nominative, pl., f 
iniūriarum bonarum, Genitive, pl., f 
iniūriis bonis, Dative, pl., f 
iniūrias bonas, Accusative, pl., f 
iniūriis bonis, Ablative, pl., f 
īnsula bona, Nominative, sg., f 
īnsulae bonae, Genitive, sg., f 
īnsulae bonae, Dative, sg., f 
īnsulam bonam, Accusative, sg., f 
īnsulā bonā, Ablative, sg., f 
īnsulae bonae, Nominative, pl., f 
īnsularum bonarum, Genitive, pl., f 
īnsulis bonis, Dative, pl., f 
īnsulas bonas, Accusative, pl., f 
īnsulis bonis, Ablative, pl., f 
invidia bona, Nominative, sg., f 
invidiae bonae, Genitive, sg., f 
invidiae bonae, Dative, sg., f 
invidiam bonam, Accusative, sg., f 
invidiā bonā, Ablative, sg., f 
invidiae bonae, Nominative, pl., f 
invidiarum bonarum, Genitive, pl., f 
invidiis bonis, Dative, pl., f 
